timestamp,cycle_id,distance_cm,weight_g,pir,fill_percent,hour,day_of_week,minute_of_day,delta_fill_3,delta_weight_3,pir_recent_3,fill_rate_15m,fill_rate_30m,weight_rate_15m,weight_rate_30m,pir_count_15m,pir_count_30m,time_to_full_minutes
2026-03-20 06:00:00,0,10.02,303.26,1,10.1,6,4,360,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,375
2026-03-20 06:05:00,0,10.17,360.44,0,10.1,6,4,365,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,370
2026-03-20 06:10:00,0,9.96,371.04,1,10.4,6,4,370,0.0,0.0,2,0.0,0.0,0.0,0.0,2,2,365
2026-03-20 06:15:00,0,10.38,381.28,0,10.8,6,4,375,0.7,78.02,1,0.0467,0.0,5.2013,0.0,1,2,360
2026-03-20 06:20:00,0,9.67,382.32,1,11.1,6,4,380,1.0,21.88,2,0.0667,0.0,1.4587,0.0,2,3,355
2026-03-20 06:25:00,0,9.48,339.56,0,11.6,6,4,385,1.2,-31.48,1,0.08,0.0,-2.0987,0.0,1,3,350
2026-03-20 06:30:00,0,9.5,363.26,0,11.9,6,4,390,1.1,-18.02,1,0.0733,0.06,-1.2013,2.0,1,2,345
2026-03-20 06:35:00,0,9.38,358.99,0,12.6,6,4,395,1.5,-23.33,0,0.1,0.0833,-1.5553,-0.0483,0,2,340
2026-03-20 06:40:00,0,9.52,501.26,1,13.0,6,4,400,1.4,161.7,1,0.0933,0.0867,10.78,4.3407,1,2,335
2026-03-20 06:45:00,0,9.49,532.01,1,13.5,6,4,405,1.6,168.75,2,0.1067,0.09,11.25,5.0243,2,3,330
2026-03-20 06:50:00,0,10.2,455.29,0,13.8,6,4,410,1.2,96.3,2,0.08,0.09,6.42,2.4323,2,2,325
2026-03-20 06:55:00,0,9.71,544.5,0,14.1,6,4,415,1.1,43.24,1,0.0733,0.0833,2.8827,6.8313,1,2,320
2026-03-20 07:00:00,0,9.44,613.83,1,15.4,7,4,420,1.9,81.82,1,0.1267,0.1167,5.4547,8.3523,1,3,315
2026-03-20 07:05:00,0,9.52,779.22,1,16.3,7,4,425,2.5,323.93,2,0.1667,0.1233,21.5953,14.0077,2,4,310
2026-03-20 07:10:00,0,9.63,570.5,1,17.0,7,4,430,2.9,26.0,3,0.1933,0.1333,1.7333,2.308,3,4,305
2026-03-20 07:15:00,0,9.17,708.8,0,18.0,7,4,435,2.6,94.97,2,0.1733,0.15,6.3313,5.893,2,3,300
2026-03-20 07:20:00,0,8.94,645.72,1,19.1,7,4,440,2.8,-133.5,2,0.1867,0.1767,-8.9,6.3477,2,4,295
2026-03-20 07:25:00,0,9.07,643.8,1,20.0,7,4,445,3.0,73.3,2,0.2,0.1967,4.8867,3.31,2,5,290
2026-03-20 07:30:00,0,9.54,826.61,0,20.3,7,4,450,2.3,117.81,2,0.1533,0.1633,7.854,7.0927,2,4,285
2026-03-20 07:35:00,0,8.76,691.42,1,21.1,7,4,455,2.0,45.7,2,0.1333,0.16,3.0467,-2.9267,2,4,280
2026-03-20 07:40:00,0,8.72,624.03,0,21.9,7,4,460,1.9,-19.77,1,0.1267,0.1633,-1.318,1.7843,1,3,275
2026-03-20 07:45:00,0,8.68,874.76,0,23.0,7,4,465,2.7,48.15,1,0.18,0.1667,3.21,5.532,1,3,270
2026-03-20 07:50:00,0,9.09,818.51,0,24.1,7,4,470,3.0,127.09,0,0.2,0.1667,8.4727,5.7597,0,2,265
2026-03-20 07:55:00,0,8.71,970.96,0,25.4,7,4,475,3.5,346.93,0,0.2333,0.18,23.1287,10.9053,0,1,260
