timestamp,cycle_id,distance_cm,weight_g,pir,fill_percent,hour,day_of_week,minute_of_day,delta_fill_3,delta_weight_3,pir_recent_3,time_to_full_minutes
2026-03-20 06:00:00,0,35.2,746.5,1,14.0,6,4,360,0.0,0.0,1,405
2026-03-20 06:05:00,0,35.6,885.7,0,14.0,6,4,365,0.0,0.0,1,400
2026-03-20 06:10:00,0,35.0,863.0,1,14.3,6,4,370,0.0,0.0,2,395
2026-03-20 06:15:00,0,36.1,918.0,0,14.6,6,4,375,0.6,171.5,1,390
2026-03-20 06:20:00,0,34.2,905.8,1,14.9,6,4,380,0.9,20.1,2,385
2026-03-20 06:25:00,0,33.6,805.1,0,15.5,6,4,385,1.2,-57.9,1,380
2026-03-20 06:30:00,0,33.6,852.3,0,15.8,6,4,390,1.2,-65.7,1,375
2026-03-20 06:35:00,0,33.2,835.6,0,16.5,6,4,395,1.6,-70.2,0,370
2026-03-20 06:40:00,0,33.5,1156.2,1,17.0,6,4,400,1.5,351.1,1,365
2026-03-20 06:45:00,0,33.4,1213.3,1,17.5,6,4,405,1.7,361.0,2,360
2026-03-20 06:50:00,0,35.4,1040.0,0,17.8,6,4,410,1.3,204.4,2,355
2026-03-20 06:55:00,0,34.0,1239.8,0,18.1,6,4,415,1.1,83.6,1,350
2026-03-20 07:00:00,0,33.1,1370.5,1,19.5,7,4,420,2.0,157.2,1,345
2026-03-20 07:05:00,0,33.3,1693.2,1,20.4,7,4,425,2.6,653.2,2,340
2026-03-20 07:10:00,0,33.6,1229.7,1,21.1,7,4,430,3.0,-10.1,3,335
2026-03-20 07:15:00,0,32.2,1551.4,0,22.0,7,4,435,2.5,180.9,2,330
2026-03-20 07:20:00,0,31.4,1384.5,1,23.2,7,4,440,2.8,-308.7,2,325
2026-03-20 07:25:00,0,31.8,1361.1,1,24.1,7,4,445,3.0,131.4,2,320
2026-03-20 07:30:00,0,33.1,1771.1,0,24.2,7,4,450,2.2,219.7,2,315
2026-03-20 07:35:00,0,30.9,1419.7,1,24.9,7,4,455,1.7,35.2,2,310
